kelime,anlam
umma,lohusaların göğüslerinin şişmesi
kakılı,çok
yence,hafif
böğe,örümcek
fıydırma,kaldırıp atma
garaböcük,domuz
ireğ,uzak
çuvare,sigara
gadek,çivi
söyliyrum,söylüyorum
ki̇ggi̇demi̇n,gidiyormusun
epa, anneanne- babaanne
celan,şelale
şişag,yaşına değmiş dişi koyun
Dasdire,Testere
loğloğ,makara
çermig,kaplıca
dar'naşı,Tarhana çorbası
tun,pijama
Fışğı,Kurutulmuş tezek
çan çıkdı, tarlada 5 çayı
hökalek,iriyarı
telak,kümes hayvanlarının kanat tüyleri
çabıt, bez parçası
dangırmak,yüksek sesle konuşmak
Çiritmek,Çömelmek
cinken,çingene
Bahelı,Pahalı
dayiyon,dayatmak
çedtüğüm,kördüğüm
çatal kapı,i̇ki kanatlı avlu kapısı
loğ,düzleştirme taşı
Toga,Bilye
çığrıg,çıkrık
cığızlemak,mızıklanmak
i̇gi tak,az
kelberi,kül temizleyici
gaçcok,kadar
dapmük (dakmük),tekme
kus, kapı kilidi
gakec,kekeme
timik,tırmık
zabid,tutanak
işgillenmeg,şüphelenmek
palezımak,oluşmak
codul,ağacın kollarının ilk ayrıldığı yer
Apa,Ağabey
Ağhır,Son kişi
şire,şıra. tatlılara ekilen şerbet
kodig, küçük tahıl ölçeği
pıngel,yumurtalık
şamar,tokat
ihi,işte
fuzuli,boşu boşuna gereksiz
su sulamek,bahçe sulamak
bıngel,yumurtalık
pendol,pantolon
lenkar,sahan
hurem,ot demeti
cıngı,parça
kürlük,karmaşa dağınıklık
düremec,ekmek arasına peynir vb. konularak hazırlanan yiyecek
şeramat,eline çabuk
ebam koşağı, gök kuşağı
biguşam,bir avuç
hetircag,tandır demiri
Alaf,Hayvan yemi
pıngel,yumurtalık
bopa,bubalık
tıraş,uzun boylu
çaht,kararlılık
çingan,çingene
aaşamotu,akşamüstü
bi̇pi̇,hala
öykünma,taklit etme
canpez,merdiven
basuk,zayıf cılız çocuk.kısa
Dolameç,Dönemeç
peca,dam
keltuş,kel
şorik,tükürük
cilbirtin,ağıl yapmakta kullanılan akdeniz tipi çalı
fesi̇lye,fasulye
ek,beyaz
dav,kıvamına gelmek
malamat olmak,rezil olmak
dadirbe,çıkmaz sokak
boşa,çingene kadın
Balli,Bilinen
Vindo,Kan emici büyük sinek
büsumug,bunaltıcı.sıkıcı kapalı
geflet,dalgınlık yanılgı durgunluk
suku,bulgur döğülen içi oyuk taş
rabate,hamur tutacağı
dekmüg,tekme
garamatli,şanssız
cavcav,havanın sıcak zamanı
mırık,neşe
Yımırte,Yumurta
döşürüksüz,tertipsiz
iramak,uzaklaşmak
Ülaşmek,Paylaşmak
kavurma herlesi,un çorbası
celdug,i̇çi boş fındık çotanağı
pürçegli,havuç
tuklu,erkek koyun
dindirik,fiske
gabkacak,mutfak eşyaşının tamamı
kilig,parça
Şıngırtek,Sesli
çenabid,camdan ekmek kabı
uğundurma totturmag,birini aç bırakmak
habba,taneli lokma
çipil,çalı çırpı
höd,ihtar
evcimek,eli ev işlerine yatkın
gavi̇lleşmek,sözleşmek
sampeğı,yün ip
bak,yıkık bina
külçöree,çörek
mırıh,yarık dudak
Megtep,Okul
gertobak,patates yerelması
giçişme,kaşınma
pöyon,bugün
bilegi,ekmek pişirilen kap
elcim,yün parçası
laylon,römork
hemecik,bebek oyuncağı
fetil,kalın yufka
duruk,ladin ağacı
çükündür,pancar
çepin,çapa
gara,siyah
Bi,Bir
Ires,Denk
miriyıgık,morali bozuk
gadi̇,kadir
öykünme,taklit etme
tapen,düzleme aracı
camız,manda
mahane,bahane
tantana,boş laf
kürze,su testi̇si̇
cilbır(cilbi),hayvan yuları
arba,araba
Don,Külot
tomatis,domates
him,temel
Lapcin(lepcük),Yassı
calımsatma,gösteriş yapma
danizlik,pencere cam önü beton
gülfat,ev halkı
Ganeyahlı,Başına buyruk kız
ürme,havlama
cavre,mendil
hapen,kuş tuzağı
eğarlamak,misafir etmek
antır kelsın,uzak dursun
divid,i̇plik boyası
ayagyolo,tuvalet
dolupduru,dolmaya başlamak
cılk,bozulmuş yumurta
deri,misir
tüva,dana
cara,akıntı
kartol,patates
hayveh,eyvah
guzzik,kambur
yimırda,yumurta
tosbağa,kaplumbağa
tızınan,iri kıyım
yarımağız,i̇steksiz
dürmeç, ekmek arası
harar,yün çuval
höllük,bebek toprağı
avkalamak,sarsmak
delgen,ısırgan otu
nane,nine
govig,huni
Bidibidi,Azar azar
Gulo golu,Hindi
anıh,nane
kambazlama,başkasına söyleme kandırma
sınemak,denemek
çokaşmag,toplanmak
gilavadar,üzüm asması
behli,patlıcan yemeği
çıbıg,küçük ince dal
gaykana,omlet
hışırlı,pamuğun kabuğuyla toplanmış hali
döde,saman yığını
çende,Çanta
yular,at-eşşek baği
gıncılık,tahtaravelli
delis,keten torba
çilbir,hayvan zinciri
kapkebi,i̇ri başlı ufak demir çiviler
caggıl,zincirli iki ucuna kova takılan uzun çubuk
mintek, kapaklı plastik kap
tevlı,i̇yi besili
Gulupi,Tahta kova
gedaklı,dertli sorunu olan
sosak,şose
serken,raf
çebni,karadeniz bölgesine yerleşen türkmen boyları
hesoda,un tatlısı
gırmaşmak,kımıldamak
balçıg,çok sulu çamur
loş,düğün yemeği
hasuta,aside. un
gepcık,yeşil ve taze ağaç dallarından çıkarılan kabuk
aşelak,elma gibi meyvelerin yedikten sonra kalan kısmı
köb,kağnının
betırma,sokma.delme
sitil,küçük bakır kova
kübür,çöp
cırnavık,ağustos böceği
mahrama,mendil
Neleçcez,Nasıl yapacağız
Toga,Bilye
tuyge,yoğurtlu çorba
çuluk,hindi
ikınma,bir işi zorlanarak yapma
can çikti,tarlada 5 çayi
evermeg,evlendirmek
görümlüg,delikanlıların nişanlılarına ilk verdikleri ziynet eşyası
kakılı,çok
eşkere eşkare,açık açık
arsınmak,utanmak
Gejjo,Aptal
cula,karga
dametez, domates
BekaPege,Hayvan yem yeri
margap, eşşek
dantena,boş laf
rezu,razı
ayrıgsı,uyumsuz
daleme,topaç
düşelga,miras hissesi
hışıklı, sürekli hasta olan
kudan,tarla sürme aleti
dizme,tahtadan oda bölmesi
cımkı,ince değnek
görümlük,delikanlıların nişanlılarına ilk verdikleri ziynet eşyası
Afgurmak,Havlamak
garış,beddua
hörselenmak,sakarlıkla ortalığı dağıtmak
bubaşçe,patatya
Gudik,Köpek yavrusu
çepin,çapa
Cığız,Oyunbozan
caydak,yalnız
soluh,hamam havlusu
Sumun,Fırın ekmeği
ırgelameg,alakadar etmek; ilgilendirmek
eşır,aşı
pabalanmek,tıka basa yemek
kavom hısım,akraba
gakuç, çekiç
yoğşomag,hamur kıvamı
argış,yük taşımada verilen mola
tarbadan,aniden
çara,akıntı
aligobder,helikopter
mi̇ntan,gömlek
hıber,duvar taşı
korzeval,kara sapanın ucuna takılan sopa
çipil,çalı çırpı
yavuklu,nişanlı
hakket,hakikaten
bişirim,pişirim. pişirmelik kadar olan
ovmaç,yufka yemeği
peşgi̇r,havlu
Irebbım,Rabbim
sıtıl,kova
helik,küçük taş parçası
Böle,Böyle
teşirici,dilenci
çablama,sallamak
yürek yavii olmak,telaşlanmak
kaygana,yumurta yemeği
suhranmak,söylenip durmak
yazme,başörtüsü
öz,küçük akarsu
gami,fare
miriyıkık,morali bozuk
kelik,eski ayakkabı
Andıra gelsın,Sonu gelsin
Pusboran,Büyük sıçan
kişgillemek,i̇te saldırı için söylenen söz
dev,dağ
yevan,tatsız
çimmeg, duş almak- banyo yapmak
fışkı,gübre
Atul,Küçük kök bitki
Çöğür,Diken
Afgormag,Havlamak
Ürye,Rüya
allancak,hamak
zilingir,uykusuz
şeramed,eline çabuk
mee,uzun ağaç
basok,zayıf cılız çocuk.kısa
bazmek,usanmak
ekınmak,kayak
bunar,pınar
eğarto,ayran
Hunkraf,Pikap
tolaşmak,i̇pliklerin karışması
Ga,Hey (kadına hitap)
pibi, hala
gilavetar,üzüm asması
Basme,Hayvan pisliği düzeltmek
iremak,uzaklaşmak
gelberi,kül temizleyici
nıkıs,eli sıkı cimri
gedmak,eklemek
ceyırmak,kaybolmak; koşarak gitmek
goşguz, yer elması
keçig,yazmanın kakül görünecek şekilde bağlanması
ariş,ham iplik
ırag,uzak
dıhmak (dıhınmak),yemek
Biçki (bıçgı),Odun kesmeye yarayan testere
telis,keten torba
şetır,fırında ekmeği pişiren kişi
zini,tepsi
göölez,yavru
igi dek,az
ne duon,ne diyorsun
böyük,büyük
çur,hastalık
basdıg,pestil
depmez deşürmez olmag,çok zengin olmak
cekişmak,ağız kavgası
bisgevit,büsküüt; bisküvi
cahal,bilgisi olmayan
avkalamak,elleri ile sarsmak
erzem,gerekli.lazım
güverdme,ufak çıban
kapı,evin ön kısmı kapı
zırza,kapı demiri
çillanme,tohumların çimlenmesi yeşermesi
pantol,pantolon
Sakırtamak,Titremek
gezin gelin,yine buyurun gelin
anıh,nane
Gorbakur,Toplu mezar
laf avurtlamak,laf karıştırmak
gurik,yeni doğmuş tay
şikirsiz,çirkin
cıd,tel anahtar
çarçi̇,seyyar satici
çaylıg,uzun kadın donu
ofelema,parçalama
hecemmi,hacı emmi
tam,çati
avlu,evin giriş salonu
pemne,Bamya
mıh, çivi
Bahalı,Pahalı
depmek,ayakla sıkıştırma
bilyun,bilmek
peşkir, havlu
ırek,uzak
sıvışmek,sessizce kaybolmak
gucor,kısa boylu
güvermeg,yeşermek
pou,hayret sözü
das,su için bardak
yüz yavuncusu,yalancı dost
Alme,Elma
esgi,çamaşır
kakılı,çok
Efsene,Saf kişi
zerzambil,i̇çinde tahıl vs. saklandığı karanlık yer
godtik,ukala
Gaşka,At arabası
mırık,neşe
lög,yük devesi
cırbeğa,cılız
farfera,geveze
cuferlanmak,sıcaktan bunalma
yoğşumag,hamur kıvamı
bulgu,bulgur
gambazlama,başkasına söyleme kandırma
enüg,yavru
nacah, küçük balta
güdlü,çiğidi (çekirdeği) çıkarılmış pamuk
maarisem,meğerse
Nehalsın,Nasılsın
bazıma(bezi̇me),saçta yapılan ekmek türü(bazlama)
De hayde,Çabuk gel
guruyar,gündüzü gayışkanat
sağirtme,hızlı koşma
çağil,tarladaki̇ taş-kaya yiğini
ayvan,evin önü
Peşgu(pöşge),Saç soba
yençe,hafif
ucon ucun,azar azar
hozan,ekin artığı
Yümak,Yıkamak
gondura,ayakkabı
evkun,su taksimatının yapıldığı oyuk taş
talis,keten torba
beg,yıkık bina
ceferlik,odunluk
evinsiz,gereksiz
gi̇di̇şdi̇,kaşındı
ikinnedi,ilkindi vakti
temeşe,seyir
Ası,Erken
Pontul,Pantolon
şakuge,yabani süslü kabak
halhal,bilezik
fözüli,gereksiz
sipa,yavru
calkaleme,ayran
yüksünme,mahcup olmamak
paşkon,yer sofrası
hasil, süt ürünleri
cırıfte,küçük ekmek
ilisdir,kevgir
elikgeçi,geyik
Düga,Düve
gamantı,karışım
sehan,tabak
gedimi,sürekli ikide bir
accug,az olan
yuğmag,yıkamak
ballembe,yarıya kadar
guşana,tencere
külve,tandırın hava deliği
yankabuz,yaramaz
çeğil,tarladaki̇ taş-kaya yiğini
tameg,delik
i̇sod,biber
modur,traktör
cedtüğüm,kördüğüm
üykü,uyku
gahni,kazma
Göpçeg,Elbise
goma,ikinci eş
yalım,galiba
ağeçpardek,emzikli
karabaşlarıma gelen,ah bu başıma gelen
dürzü,yaramaz insan
seyip,başıboş
him,bina temeli
elma, elma
Ürmeg,Havlamak
kavat,pezevenk
Mıstıva,Mustafa
kı,kız
ahal,i̇yi
fiiire,devamlı
çebut,bez parçası
geçmiş,i̇htiyarlamış
zahra,yem
zürriyat,döl
tavetir,çok iyi
kırtik,biraz
türzü,yaramaz insan
gursaklı,kursaklı
Nahal etam,Nasıl edeyim
çizelti,hafif yağan yağmur
cinibiz,keskin zekalı.kurnaz
ayetsa,yavaş yavaş
sini, tepsi
ayze (eize),elbise
heral,kıldan yapılmış büyük çuval
culfalık,kilim dokuma tezgahı
kırgeç,kırmak
döllamek,hamile kalmak
hızmeker,erkek hizmetçi
meştala,sebze fidelerinin hepsine birden söylenen söz
diple,pirinç
doz,tuz
ander,münasebetsiz
Payem,Badem
öfelameg, masaj yapmak
zini,sini
külva,hava deliği
urufsıktı ulmak,depresyona girmek
çıtımık,menengiç ağacı
kızıllanmak,kıskanmak
hegıne,yavrulamamış keçi
devlik görmak,kış hazırlığı
ane,anne
höt,ihtar
gaveh,kavak
gözlük,gözlere takılan camlı alet
huzan,nadas tarla
böçük,böçek
ülüngür,sıska işe yaramaz
gebre,at tımarında kullanılan alet
tufren,turfan
babae,böbe
gozlacı,doğuracak hayvan
gehni,kazma
Dadağh,Ağabey-kardeş
kömba,kalın çörek
gesmük,saman karışımı
bareta,tabanca çeşiti
pirpirim,semiz otu
danil,geveze.dangalak
suhum,lokma
samı,boyunduruk
geyi̇nnam,tevekkeli
damdıre,halk ozanlarının çaldığı telli saz
kendırıg,boyunduruk ağacı
eviik,üveyik kuşu
evlu,boşluk
şemşamer,ayçiçeği
eveli,önceleri
kiyt,güvercin
demeg,ahır penceresi
çalpare,kalaylı tencere
yırlamag,şarkı söylemek
bükük,eğri olan
sate,sadece
gollik,kısa boylu
yoğşomak,hamur kıvamı
gertiş,kertenkele
peg,bey
entari,kadın elbisesi
külfad,ev halkı
güşne,burçak
geyme,kıyma
bedal,i̇ri
kümbür,ağaç yayık
Abdaslık,Lavabo
elöpan,kertenkele
mayıs, büyük hayvan dışkısı
mehana,bahane
yoler,at-eşşek baği
maa,uzun ağaç
çemkürmek,azarlamak
gıcır,yeni
Ye'lıg,Havlu
kahni,kazma
çapole,ayakkabı
dasder,hamur örtüsü
eccük,biraz
Gevva,Kahvehane
batırma,sokma.delme
tavlı,i̇yi besili
birellaş,birer
duru,doğru
cılfa,pulluk
Gada,Dert
Zare,Zahire
kucabaş,şekerpancarı
surha,angarya
Dasdümbek,Darbuka
i̇yeşmek,sürtüşmek
çollu,varlıklı
Cumeed,Cemaat
belartmek,gözünü iyice açmak
çirbinti,maki türü
Bişka,Kibir
ebegümeci,yemeği yapılan yabani bitki
yanfırı,eğri
cotuk,ağaç veya asma kütüğü
gumpilis,komunist
nelpaki,küçük bakır tabak
çıgla,tamamen
yazu,arazi
bilyon,bilmek
Peşko(pöşke),Saç soba
agak,ormandan su akmayan taşlı su yolu
korrik,sıpa
lepe,1. bulgur veya pirinçten yapılan bir tür yemek. 2. nohutun ıslatılıp kurutulduktan sonra dövülmesinden elde edilen yemek
tohme,rahatsız eden yemek
arlanmeg,utanmak
çegişmak,ağız kavgası
borunlemak,kıymet vermemek
içerlemeg,alınıp üzülmek
Meresci,Mirasçı
sılıh,düdük
ganlı,katil
dolda,korunaklı yer
tişlek,dişleri bozuk çirkin insan
çığrık,yün eğirme aracı
közlemak,kızartmak
bigoşem,bir avuç
maget,sedir
şip,çabuk
essah,doğru
Beca,Çatı penceresi
çingan,çingene
baldım,eşek semerine arkadan bağlanan keçi kılından yapılmış geniş ip
daze gelin,yeni gelin
telek,kümes hayvanlarının kanat tüyleri
geyme,kıyma
ırket, işçi
dünak,tavuk veya kuşların gecelediği yer
teleme,topaç
huram,ot demeti
değirmi,yuvarlak
dazırdladma,hava gönderme.yellenme
vesin,Versin
dayyere,uçak
tuman, don
baçılık,ahret kardeşliği
dobuş,sivriliğini kaybetmiş körelmiş
Dulap,Su değirmeni
patman,bir sürü.ağır
eca,erkek kardeş
kopçe,düğme
fıncan,fi̇lcan
holh,hal
gacırgucor,sürekli ses yapan gürültü
garcen,karıştıracan
çermik,kaplıca
Vizora,Biberon
peba,kekeme
zi̇fi̇r,karanlik
çeytak,bacakları dışa eğri kimse
kati̇,kadir
kanne,cam
hogga,mürekkep
dasder,ekmek bohçası
ivge vermek,kışkırtmak
doz,tuz
süsa,yol
culsuz,fakir
acir,yapığı davranışın karşılığı.olacaklar
berke,kayisi
gapcug,yara kabuğu üst kabuk
heype, eşya çantası
hızen,fakir
tizlig,külot
taze gelin,yeni gelin
deberik,biricik
kelegestan,kertenkele
hasir,ot sergi
ceferlig,odunluk
fenikmag,başı dönmek
ukka,ölçü
köramez,süt karışımı yemek
ogarı,yukarı
Camse,Askeri araç
cevcav,havanın sıcak zamanı
çıdlatmag,bir şeyi üstü kapalı anlatmaya çalışmak
dulanmek,çok sevmek.sevinçini belirtmek
tizlik,külot
çere,akıntı
ırgat, işçi
surha,angarya
kahpa,kahpe
çelfin,piliç
börk,bere
pöyük,büyük
çidil, fidan
ayırtlama,temizleme
Aşşa,Aşağı
Ağeş,Ağabey
gayfa,kahve
perdebaş,çok gürültü yapan kişi
Dolçe,Maşrapa
id gılı,postal bağı
kızıllanmak,kıskanmak
gerkare,karıştırma
huzulu masraf (fuzuli),gereksiz yapılan harcama
i̇teği,buğday ve saire kurutmak için yünden yapılmış tüysüz battaniye
Varegel,Teleferik
ocağın ennacında,ocağın yanında
çöden,mısır kurutulan ambar. darı ambarı
bantul,pantolon
karig,Artık
gavar,bahçe küçük bölüm
fellah,arap soyundan gelen çiftçilere verilen ad
erüşde,evlerde yapılan makarna
horum,susamın sapıyla beraber kurutulması için belinden bağlanmış ve
sürgü,kilit
hoyret,kaba
götüma,götürme
Heçan,Madem ki
imtaan,sınav
tutepa,hizmetçi kız
Güveyi,Damat
cera,akıntı
gos, kapı kilidi
mayış,maaş
ışımedan,şafak sökmeden
kumük,ön dişleri çürük olan
habpe,taneli lokma
kancık,sözünde durmayan
te-ya,i̇şte orası
hapeng,kepenk
enüg,yavru
kuparmak,şişmek
dişemak,biyeleme
eper,götürmek
eyırtlama,temizleme
böyün,büğün
palen,bayır tepe
kankıl,arkada kalan
nahas,ne şekilde
pibi,hala
gidişme,kaşınma
emek,yemek
koşu,komşu
çor,hastalık
tummag,suya batmak
tobuş,sivriliğini kaybetmiş körelmiş
keşig,sıra
dıtdırıbızdık,baldırı çıplak
geggelan,gelen
Biçki (bıçkı),Odun kesmeye yarayan testere
divildek,çok hareketli
gep-keçek,tabak çanak
dukkeç, yün ve çamaşır dövme tahtası
pürgü,başörtüsü
tıltılık,ince elbise
Fışğı,Kurutulmuş tezek
akinci,güneyli.güneyde iç bölgelerde yaşayanlar
divildek,çok hareketli
işlik,gömlek
fenigmek,başı dönmek
dadenmak,alışmak
galdirik,yemek yapılan yabani bitki
oguntu,davetiye
fıgkara, fukara
araz,dilsiz
mıt-mıt,yavaş yavaş
Buğari poğhari,Baca
silla,tokat
fing atmak,koşturmak
kabaet,kabahat
fagaz,bir tür armut çeşidi
tolluk,favori (kulak yanında uzanan saç)
Pedaliza,Kelebek
medeg,dişi manda
bardaş gurmak,oturma şekli
cırtlıg,küçük çalı kuşu
özema, ayran
gödürüvü,götürüver
gablıh,mutfak rafı
ci̇mmek,banyo yapmak
diltan,kıskaçlı böçek
tahra,bıçak
çıdlatmak,üstü kapalı anlatmak
yanpiri,yan yan yürüme
can cikti,tarlada 5 çayi
cad,orta yer
çırbağa,cılız
düşün,mola
igınma,bir işi zorlanarak yapma
haçan bürülan,ne çabuk bre ulan
tahra,bıçak
durum,altı aydan üç yaşına kadar olan deve
ustun,tavan
çandır,1.gelişmemiş 2.karışık durum
kelep,kangal şeklinde büyük
tepma,yün çuval
göpelak,mantar
bater,çok
isdikan,bardak
büküg,eğri olan
afkorme,sinirlenme
palemeg,çocuğu kundağına sağıp yatırmak
löpad,nöbet
eşik,kapı girişi
Ağaş,Ağabey
cimmek, banyo yapmak
Bınıvız,Sinsi
cızmek,çizmek
gergin,yaygın
guruyer,gündüzü gayışkanat
haşıl,ana maddesi öğütülmüş buğday
babiç,pabuç
bilik,bir çeşit tandır ekmeği
gezin gelin,yine buyurun gelin
ilana,lahana
kavremak,ekin yolmak
divrun,ucu v şeklinde uzun sopa
buzaltı,alaca karanlık
gerginmek,cinsi temas halinde iken yapılan vücud hareketi
dunder,üstü kapalı yer.sakin yer
ışımedan,şafak sökmeden
pusamak,boğasımak
çavun,i̇z
söğkenmek,uzanmak
çöğlanmak,devrilmek
zıbermak,ölmek
gartol,patates
bizeel,az
mertak,kereste
Bednar,Çıban yarası
pizeel,az
bidorema,azıcık
Dığan,Tava
çetalavrad,bir böcek türü
eğar,eğer
hozen,ekin biçildikten sonra tarlada kalan kısmı
zibil,çok bulunan
çömça,büyük tahta kaşık
Behreng,Üstü örtülü su kanalı
haney,yüksek ev
gatıh,ayran
Gedik,Sokak arası
habban gımı,bir parçanın tamamıyla istenilen yere düşmesi
kartol,patates
pantul,pantolon
i̇listir,kevgir
Gaşka,At arabası
i̇dare,huni gibi ilkel aydınlanma aracı
gidik,koyun yavrusu
gavet,değersiz adam
sıraçali,yaralı
çıkıl,madeni para
Datağh,Ağabey-kardeş
zehra,yem
gödüüveren,götürüverem
cangetme,yeni anlama.aklı başına gelme
cıngıl,küçük su kapı
Somon,Fırın ekmeği
Buğari puğhari,Baca
göğünmek,hararet nedeniyle kumaşın renginin atması
işlig,gömlek
ganera,boş insan
tafte,defter
Eringan,Tembel
Dömbüldaşak,Takla atmak
çilpek,yaş veya kuru olan ince ağaç parçası
özalemeg,yoğurdu karıştırarak ezmek
çazı,huysuz kadın
galoş,mes üzerine giyilen yarım ayakkabı
çıtırtı,herhangi bir şeyin etkisiyle çıkan küçük ses
abdasklık,lavabo
böyüg,büyük
dütek,olgunlaşmamış meyve tomurcuğu.gonca
pasuk,zayıf cılız çocuk.kısa
uruplağ,tahıl ölçüsü
onmak,i̇yi gün görmek
ammel,hamal
ballempe,yarıya kadar
cılkıtma (cığızlama),oyun bozma
ballempe,yarıya kadar
kelam,lahana
fanikme,bunalma
Geyğana,Yumurta yemeği
kavum hısım,akrabalar
tevıriya,oraya
hasil, süt ürünleri
mıh,çivi
zemheri, kış
halke,simit
Ağırsak,Teşi çengelli parça
arısokmesı,arı ısırması
salbes,serbest
camdı,ters tavan
kenkar,sakız otu
i̇cli,yufkadan yapılan börek
güdrük,çökelek vb. yiyecek koymak için küçük toprak kap
darag,tarak
paddal,geniş
gandırık,boyunduruk ağacı
Goli,Hind
Aş,Yemek
serpene,kamelya
zobben,bir tür kuş
tompalak,yuvarlak
zaar,herhalde
yırlemak,şarkı söylemek
çecik,başörtü bağlama
nörüyun,ne yapıyorsun
bepee,böbe
kivra,kirve
Kındışlı,Rüküş
kök,olmamiş sebze-meyve
eşelak,elma gibi meyvelerin yedikten sonra kalan kısmı
şore,şurasi
förtlek,dışarı fırlamış nesne
Payanda,Desteklemek amacıyla yanlardan dayanmış direk
tehre, satır
caferlik,odunluk
Mahana,Bahane
carlemek,sinirlenme
kuzzik,kambur
Aşşa,Aşağı
yoğmag,yıkamak
mablağ,çay kaşığı
dam, çatı
hozag,olgunlaşmamış incir
necak,balta
berete,tabanca çeşiti
Gatan alem,Dertlerini alayım
A guzum,Yavrum
fenikmak,acele etmek
bıllek,parlak
ceytak,yalnız
giçişme,kaşınma
zivzivlemek,zingildemek; gezip durmak
çapel,bulaşık
Esirig,Şımarık
herslenmek,sinirlenmek
cillenme,tohumların çimlenmesi yeşermesi
boğoz,eziyet
Arı hamuru,Buğday unundan yapılan hamur
